id,text,sentiment
634633252020555781,"b""HERE today, gone tomorrow- but still here! A short note on Nokia's patent deals with @Microsoft and @Alcatel_Lucent  http://t.co/y5wFgUygFD""",neutral
637308387353432064,b'@joebelfiore @GabeAul @Microsoft @Lumia @satyanadella plz add L1520 in the 1st wave of windows10 phones release.plz dont hurt ur diehardfans',neutral
629186282179153920,b'If I make a game as a #windows10 Universal App. Will #xboxone owners be able to download and play it in November? @majornelson @Microsoft',neutral
634517732067778561,"b'@microsoft using Office 2013\'s Bing dictionary. type in ""bound."" This is the 3rd picture they show me. WTF?... http://t.co/VzwGIoLxco'",negative
635795783099387904,"b""@Microsoft - congratulations on the 20th Birth Anniversary of @Windows 95. \n20 years since we've come to love you (&amp; backward compatibility)""",positive
639352599288877056,b'@vukosi @Microsoft Please have a look at this link and see if the errors mentioned may correspond to your errors. http://t.co/9Tj4Nhkoyo',neutral
638390714502619136,b'Predictive Analytics with @Microsoft #Azure #MachineLearning 2nd ed. Now available. http://t.co/frOUbXXOzU @MSAdvAnalytics',neutral
640261386417897473,b'@microsoft ur company will give me my 500 pounds plus the cost of the laptop on Monday for what u did to my laptop!',negative
638971652546543616,b'@BundyB @Microsoft I may have missed that memo. (Also about time)',neutral
633594289029808128,b'@Microsoft Heard you are a software company. Why then is most of your software so bad that it has to be replaced by 3rd party apps?',negative
639580199303016448,"b'All NGO/NPOs should know about @techsoup: free/VERY low-cost software from @symantec, @Microsoft @Adobe &amp; lots more! https://t.co/MS5L2vzTxJ'",positive
635914448121626624,b'Looks like @Microsoft may still be in the handset/smartphone business!  #SurfacePhone #Windows10 http://t.co/SubGXXMqlz',positive
631368262979297281,b'#Vote for @AIESEC to become the 10th Global non profit partner of @Microsoft for us to #UpgradeYourWorld together. @AIESECGermany',positive
640510504159584256,b'Thank you to @Microsoft for inviting us to join them at the #IBCShow in Amsterdam next Thursday - http://t.co/AuaXij5BQL',positive
628976607420645377,"b""@Microsoft how about you make a system that doesn't eat my friggin discs. This is the 2nd time this has happened and I am so sick of it!""",negative
631936716522278912,"b""@kenttaylor333 @YourAnonNews @Microsoft the option should be in Windows update. You've got a month. Clean install may be better...""",neutral
641382034678661120,"b""@Lumia #Lumia @Microsoft 2nd, you guys haven't released a lumia that has a QHD screen, or takes video in 2k resolution yet.""",negative
632805868334153728,b'@Microsoft Is it normal that it takes hours to check the email name for creating an microsoft account? 2nd try!',negative
634364883040006144,b'I thought @Microsoft was retiring the Lumia line to give way to Surface Mobile? I guess not. https://t.co/7NRWeBqjEN',negative
630542330827771904,"b""Did @Microsoft break Windows 10? Was working fine on Wednesday but now I can't get passed the login screen without it freezing up.""",negative
634169076210733056,b'Pet adoptions are $10 this Friday @BFAS_LA thanks to @Microsoft @Windows. #Upgradeyourworld with a new best friend! http://t.co/0aI2QiBbCR',positive
629650766580609026,"b'Just ordered my 1st ever tablet; @Microsoft Surface Pro 3, i7/8GB 512GB SSD. Hopefully it works out for dev to replace my laptop =)'",positive
633041928922132480,"b'After 75 minutes of being on hold with @Microsoft in India 1-800-936-5700 ""Adrian"" wants to transfer my call again\n(3rd time) #Windows10Fail'",negative
638881767542263808,b'#llvm 3.7 is the 2nd release to incorporate contributions from my team at @microsoft. Congrats to all involved! :) https://t.co/IUtbNxonfw',positive
631543121407442946,b'@Microsoft support for 365 has been terrible. On the phone for an hour then got dropped. So far not worth the headache. May ask for refund.',negative
634877877725569025,b'Did you know our Lunch&amp;Learns are now open to the public? Join us on August 31 with @asaunders from @Microsoft! https://t.co/FdPz5JcqI6',positive
630818265799921664,b'Innovation for jobs is just around the corner - to be exact next Wednesday 8/19 at @Microsoft http://t.co/3DK6ToZeA8 http://t.co/L2wOZcwgRb',positive
638268341052948480,b'Startup your Monday in the right way. Apply 2 our Pitch battle by @microsoft at #jointheUPRISE http://t.co/MoWnEAObqk http://t.co/Fkl9WdFkUZ',positive
636062553009987584,b'Enjoying feasibility workshop replacing #Cognos with @Microsoft #BI. 4th customer in less than a year!',positive
641024489870987264,b'#Producers Catch me in Dallas Sept 12th at the @Microsoft event.  Also at @A3C in #ATL for the On The Spot Beat Shopping!',positive
635528136743092224,b'Spending the day on the phone with @Microsoft. This is not how I wanted to spend my Sunday',negative
639102028296376320,"b'no diff from @Microsoft with BitLocker =at some point, platforms should provide data at rest encryption built in https://t.co/KATCGJER4W'",negative
633119630417129476,"b""@Microsoft On hold with support for 52 minutes now. C'mon.""",negative
639009525958352896,b'@KasweshiLwiimbo @Microsoft will be presenting on the 4th I will come we talk about some stuff',positive
633694793852407808,"b'PAX Prime Thursday is overloaded for me with @Microsoft and Nintendo indie events going down. Also, cider!!! :p'",positive
638570993397682177,"b""I can't wait to speak at @Microsoft's\n#MSAPC2015 event tomorrow, then fly to #NYC for the weekend, &amp; then #INBOUND15! http://t.co/WwOUjsslKt""",positive
629394528336637953,b'@Microsoft 2nd computer with same error!!! #Windows10fail Guess we will shelve this until SP1! http://t.co/QCcHlKuy8Q',negative
632536348419690496,"b""@eyesonfoxorg @Microsoft I'm still using Vista on one &amp; Win-7 on another, Vista is a dinosaur, unfortunately I may use a free 10 with limits""",negative
630982270409572352,b'We are still taking registrations for our Education Technology Update with @Acer and @Microsoft on August 28! Visit: http://t.co/lQvTHE6Chb',neutral
639935724033339393,b'Look @Qualcomm I found the 1st #Snapdragon Phone in my stuff from #Toshiba and @Microsoft. Still Working :) http://t.co/dLbuag6QDU',positive
640871644844572672,"b'@ @Microsoft  3rd time my Lumia handset submitted in service Centre in last 8 Months, No one is looking into it. Need replacement of my 930'",negative
640987727492722688,"b""Should you upgrade to @Microsoft's new OS, #Windows10?  Lunch-and-Learn, in #PalmCoast, this Wednesday, Sept 9th: http://t.co/kKXfJhDGW5""",positive
632949742750687232,"b""@ForbesRussia #MBA #casestudy Namaste 2 #google and @Microsoft's CEOs, but #Multiculturals mttr!May B the era of Bad Translations wd B Over?""",neutral
629226490152914944,"b'Microsoft, I may not prefer your gaming branch of business. But, you do make a damn fine operating system. #Windows10 @Microsoft'",positive
641372287694823424,"b""@clayton_simms @Microsoft I might but I'm gonna wait a bit to see if they patch it. You coming sat?""",positive
638618791711084544,"b""Happy hour at @Microsoft #msapc2015 with @sarahvaughan and friends. Good luck for tomorrow's keynote http://t.co/emvqoeRS6j""",positive
633500866096574464,"b""Beyond frustrated with my #Xbox360 right now, and that as of June, @Microsoft doesn't support it. Gotta find someone else to fix the drive.""",negative
631843393971204097,b'@taehongmin1 We have an IOT workshop by @Microsoft at 11PM on the Friday - definitely worth going for inspiration! #HackThePlanet',positive
628949369883000832,"b""dear @Microsoft the newOoffice for Mac is great and all, but no Lync update? C'mon.""",negative
