Emoticon	Description
:‑)	happy
:)	happy
:-]	happy
:]	happy
:-3	happy
:3	happy
:->	happy
:>	happy
8-)	happy
8)	happy
:-}	happy
:}	happy
:o)	happy
:c)	happy
:^)	happy
=]	happy
=)	happy
:-))	happy
(:	happy
:‑D	laughing
:D	laughing
8‑D	laughing
8D	laughing
x‑D	laughing
xD	laughing
X‑D	laughing
XD	laughing
=D	laughing
=3	laughing
B^D	laughing
:‑(	unhappy
:(	unhappy
:‑c	unhappy
:c	unhappy
:‑<	unhappy
:<	unhappy
:‑[	unhappy
:[	unhappy
:-||	unhappy
>:[	angry
:{	angry
:@	angry
:(	unhappy
;(	unhappy
:'‑(	crying
:'(	crying
:'‑)	tears_of_happiness
:')	tears_of_happiness
D‑':	disgust
D:<	disgust
D:	disgust
D8	disgust
D;	disgust
D=	disgust
DX	disgust
:‑O	surprise
:O	surprise
:‑o	surprise
:o	surprise
:-0	surprise
8‑0	surprise
>:O	surprise
:-*	kiss
:*	kiss
:×	kiss
;‑)	wink
;)	wink
*-)	wink
*)	wink
;‑]	wink
;]	wink
;^)	wink
:‑,	wink
;D	wink
:‑P	playful
:P	playful
X‑P	playful
XP	playful
x‑p	playful
xp	playful
:‑p	playful
:p	playful
:‑Þ	playful
:Þ	playful
:‑þ	playful
:þ	playful
:‑b	playful
:b	playful
d:	playful
=p	playful
>:P	playful
:‑/	annoyed
:/	annoyed
:‑.	annoyed
>:\	annoyed
>:/	annoyed
:\	annoyed
=/	annoyed
=\	annoyed
:L	annoyed
=L	annoyed
:S	annoyed
:‑|	indecision
:|	indecision
$	embarrassed
://)	embarrassed
://3	embarrassed
:‑X	tongue-tied
:X	tongue-tied
:‑#	tongue-tied
:#	tongue-tied
:‑&	tongue-tied
:&	tongue-tied
O:‑)	angel
O:)	angel
0:‑3	angel
0:3	angel
0:‑)	angel
0:)	angel
0;^)	angel
>:‑)	evil
>:)	evil
}:‑)	evil
}:)	evil
3:‑)	evil
3:)	evil
>;)	evil
>:3	evil
|;‑)	cool
|‑O	bored
:‑J	tongue-in-cheek
%‑)	confused
%)	confused
:‑###..	sick
:###..	sick
<:‑|	dumb
',:-|	scepticism
',:-l	scepticism
</3	broken_heart
<\3	broken_heart
<3	heart
\o/	yay
*\0/*	yay
v.v	sadness
O_O	shock
o‑o	shock
O_o	shock
o_O	shock
o_o	shock
O-O	shock
>.<	annoyed
^5	high-five
o/\o	high-five
>_>^ ^<_<	high-five
